|Champs|R30|R31|R32|R33|R34|R35|R36|R37|R38|R39|R40|R41|R42|R43|R44|R45|R46|R47|R48|R49|R50|R51|R52|R53|R54|R55|R56|R57|R58|R59|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|344.0|482.0|322.0|343.0|347.0|476.0|390.0|352.0|341.0|351.0|322.0|378.0|395.0|367.0|619.0|540.0|311.0|746.0|433.0|674.0|529.0|384.0|350.0|414.0|796.0|466.0|650.0|540.0|668.0|490.0|460.6666666666667|18878.7816091954|(409.3606341129165, 511.97269922041687)
1|tauxDeMortCasConnu|1.1627906976744187|1.4522821576763485|1.5527950310559007|0.8746355685131195|1.1527377521613833|1.680672268907563|2.051282051282051|1.7045454545454544|1.7595307917888565|1.7094017094017095|1.8633540372670807|1.8518518518518516|1.2658227848101267|0.544959128065395|0.8077544426494345|0.7407407407407408|1.929260450160772|1.0723860589812333|1.6166281755196306|0.741839762611276|1.5122873345935728|1.3020833333333335|0.8571428571428572|2.4154589371980677|0.628140703517588|1.7167381974248928|2.923076923076923|1.6666666666666667|1.0479041916167664|1.4285714285714286|1.434444716293548|0.296044081875486|(1.2312746871330607, 1.6376147454540355)
2|tauxMortalitePopulationGobale|0.00018472141470742668|0.0003232624757379967|0.00023090176838428336|0.00013854106103057003|0.00018472141470742668|0.00036944282941485336|0.00036944282941485336|0.00027708212206114006|0.00027708212206114006|0.00027708212206114006|0.00027708212206114006|0.0003232624757379967|0.00023090176838428336|9.236070735371334e-05|0.00023090176838428336|0.00018472141470742668|0.00027708212206114006|0.00036944282941485336|0.0003232624757379967|0.00023090176838428336|0.00036944282941485336|0.00023090176838428336|0.00013854106103057003|0.0004618035367685667|0.00023090176838428336|0.00036944282941485336|0.0008774267198602768|0.00041562318309171003|0.0003232624757379967|0.0003232624757379967|0.00029709360865444456|1.9514744997923556e-08|(0.000244930568917995, 0.00034925664839089424)
3|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
4|tauxDeMort15-25ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
5|tauxDeMort25-35ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
6|tauxDeMort35-45ans|0.0|1.8518518518518516|5.263157894736842|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.389830508474576|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|1.6666666666666667|1.3333333333333335|0.0|0.0|0.0|0.516828008502109|1.4883916216107156|(0.061273803848365505, 0.9723822131558524)
7|tauxDeMort45-55ans|0.0|0.0|0.0|3.9215686274509802|0.0|1.3888888888888888|4.761904761904762|0.0|2.631578947368421|0.0|2.1739130434782608|1.8181818181818181|1.9230769230769231|0.0|1.0869565217391304|0.0|0.0|0.0|1.7543859649122806|0.0|0.0|0.0|0.0|0.0|2.083333333333333|0.0|1.2048192771084338|0.0|0.0|3.1746031746031744|0.9307737094015469|1.8199204032732055|(0.4270323056429539, 1.43451511316014)
8|tauxDeMort55-65ans|2.380952380952381|1.7857142857142856|5.128205128205128|0.0|1.9607843137254901|6.8181818181818175|3.225806451612903|4.3478260869565215|2.380952380952381|1.8518518518518516|2.631578947368421|2.5|0.0|0.0|0.0|0.0|2.2222222222222223|1.0|1.639344262295082|1.282051282051282|3.0303030303030303|6.382978723404255|0.0|3.389830508474576|0.9708737864077669|7.042253521126761|4.938271604938271|2.380952380952381|0.8928571428571428|2.5974025974025974|2.4260398235985514|4.149030423148658|(1.6654425562214124, 3.1866370909756903)
9|tauxDeMort65-75ans|2.564102564102564|4.615384615384616|2.7027027027027026|0.0|6.0606060606060606|1.8181818181818181|4.761904761904762|2.564102564102564|3.225806451612903|13.333333333333334|5.128205128205128|0.0|0.0|0.0|3.125|1.694915254237288|4.25531914893617|3.061224489795918|0.0|1.4084507042253522|0.0|0.0|0.0|4.651162790697675|0.0|0.0|6.25|6.451612903225806|0.0|0.0|2.5890671763751554|9.043868046121373|(1.4661219851943794, 3.7120123675559302)
10|tauxDeMort75+ans|8.333333333333332|3.6363636363636362|0.0|3.3333333333333335|3.571428571428571|6.8181818181818175|5.0|6.382978723404255|9.375|3.125|7.142857142857142|16.129032258064516|10.0|6.25|3.278688524590164|2.0408163265306123|7.142857142857142|5.405405405405405|11.627906976744185|3.896103896103896|8.47457627118644|7.142857142857142|9.67741935483871|12.76595744680851|2.941176470588235|4.3478260869565215|12.0|5.88235294117647|12.0|7.894736842105263|6.85387298819051|13.616097406026745|(5.47600447480049, 8.231741501580531)
11|nbRandomGenere|3177138836.0|3177132025.0|3177138854.0|3177141046.0|3177139143.0|3177129711.0|3177132183.0|3177135965.0|3177136321.0|3177135833.0|3177137304.0|3177134186.0|3177136271.0|3177141213.0|3177131007.0|3177134512.0|3177137399.0|3177123789.0|3177132526.0|3177129644.0|3177128895.0|3177136749.0|3177140504.0|3177128766.0|3177128079.0|3177130989.0|3177110427.0|3177128311.0|3177127508.0|3177131482.0|3177132982.6|38913628.66206896|(3177130653.263048, 3177135311.9369516)
